Felidae,Canidae
Canis lupus,Canis latrans
Ursus arctos,Ursus americanus
Panthera onca,Panthera pardus
Otariidae,Phocidae
Mysticeti,Odontoceti
Haplorhini,Strepsirrhini
Catarrhini,Platyrrhini
Hominoidea,Cercopithecidae
Elephas,Loxodonta
Loxodonta africana,Loxodonta cyclotis
Laurasiatheria,Euarchontoglires
Xenarthra,Afrotheria
Afrotheria,Laurasiatheria
Puma concolor,Acinonyx jubatus
Leopardus pardalis,Leopardus wiedii
Lynx rufus,Lynx canadensis
Vulpes vulpes,Vulpes corsac
Canis lupus,Canis rufus
Ursus americanus,Ursus thibetanus
Zalophus californianus,Eumetopias jubatus
Phoca vitulina,Halichoerus grypus
Tursiops truncatus,Stenella frontalis
Balaenoptera physalus,Balaenoptera borealis
Balaenoptera physalus,Balaenoptera musculus
Balaenoptera borealis,Balaenoptera edeni
Balaenoptera acutorostrata,Balaenoptera bonaerensis
Megaptera novaeangliae,Eubalaena glacialis
Eubalaena glacialis,Eubalaena australis
Physeter macrocephalus,Kogia breviceps
Kogia breviceps,Kogia sima
Orcinus orca,Pseudorca crassidens
Globicephala melas,Globicephala macrorhynchus
Tursiops truncatus,Tursiops aduncus
Stenella attenuata,Stenella frontalis
Stenella coeruleoalba,Stenella longirostris
Leucopleurus acutus,Sagmatias obliquidens
Lagenorhynchus albirostris,Sagmatias obscurus
Grampus griseus,Steno bredanensis
Phocoena phocoena,Phocoenoides dalli
Mesoplodon bidens,Mesoplodon europaeus
Ziphius cavirostris,Hyperoodon ampullatus
Inia geoffrensis,Platanista gangetica
Delphinapterus leucas,Monodon monoceros
Cephalorhynchus hectori,Cephalorhynchus commersonii
Sotalia fluviatilis,Sotalia guianensis
Peponocephala electra,Feresa attenuata
Lissodelphis borealis,Lissodelphis peronii
Odocoileus virginianus,Odocoileus hemionus
Cervus elaphus,Cervus canadensis
Alces alces,Cervus canadensis
Bison bison,Bos taurus
Ovis canadensis,Ovis dalli
Oreamnos americanus,Ovis dalli
Rangifer tarandus,Alces alces
Equus zebra,Equus quagga
Loxodonta africana,Elephas maximus
Hippopotamus amphibius,Choeropsis liberiensis
Diceros bicornis,Ceratotherium simum
Pan troglodytes,Pan paniscus
Gorilla beringei,Gorilla gorilla
Pongo abelii,Pongo pygmaeus
Macaca mulatta,Macaca fascicularis
Papio anubis,Papio hamadryas
Lemur catta,Varecia variegata
Sciurus carolinensis,Sciurus niger
Tamias striatus,Eutamias sibiricus
Marmota monax,Marmota flaviventris
Cricetus cricetus,Mesocricetus auratus
Rattus norvegicus,Rattus rattus
Mus musculus,Apodemus sylvaticus
Didelphis virginiana,Didelphis marsupialis
Trichosurus vulpecula,Pseudocheirus peregrinus
Osphranter rufus,Macropus giganteus
Sarcophilus harrisii,Dasyurus maculatus
Vombatus ursinus,Lasiorhinus latifrons
Monotremata,Marsupialia
Monotremata,Placentalia
Ornithorhynchus anatinus,Castor
Myotis myotis,Myotis blythii
Myotis daubentonii,Myotis dasycneme
Myotis nattereri,Myotis emarginatus
Myotis bechsteinii,Plecotus auritus
Myotis lucifugus,Myotis yumanensis
Eptesicus serotinus,Eptesicus nilssonii
Eptesicus fuscus,Lasionycteris noctivagans
Nyctalus noctula,Nyctalus leisleri
Pipistrellus pipistrellus,Pipistrellus pygmaeus
Pipistrellus nathusii,Pipistrellus kuhlii
Plecotus auritus,Plecotus austriacus
Barbastella barbastellus,Myotis mystacinus
Rhinolophus ferrumequinum,Rhinolophus hipposideros
Rhinolophus euryale,Rhinolophus mehelyi
Tadarida brasiliensis,Tadarida teniotis
Miniopterus schreibersii,Miniopterus fuliginosus
Pteronotus parnellii,Pteronotus davyi
Artibeus jamaicensis,Artibeus lituratus
Carollia perspicillata,Carollia brevicaudum
Glossophaga soricina,Leptonycteris yerbabuenae
Desmodus rotundus,Diaemus youngii
Macrotus californicus,Macrotus waterhousii
Hipposideros armiger,Hipposideros swinhoei
Rousettus aegyptiacus,Rousettus leschenaultii
Pteropus giganteus,Pteropus vampyrus
Cynopterus brachyotis,Cynopterus sphinx
Eonycteris spelaea,Macroglossus minimus
Nycteris thebaica,Nycteris macrotis
Lyroderma lyra,Megaderma spasma
Taphozous melanopogon,Taphozous theobaldi
Craseonycteris thonglongyai,Myotis siligorensis
Murina cyclotis,Murina suilla
Kerivoula papillosa,Kerivoula hardwickii
Chalinolobus gouldii,Chalinolobus morio
Nyctophilus geoffroyi,Nyctophilus gouldi
Ozimops planiceps,Micronomus norfolkensis
Scotophilus kuhlii,Scotophilus heathii
Afronycteris nanus,Laephotis capensis
Lasiurus cinereus,Lasiurus borealis
Eumops perotis,Eumops underwoodi
Erinaceus europaeus,Erinaceus roumanicus
Sorex araneus,Sorex minutus
Procyon lotor,Nasua nasua
Meles meles,Taxidea taxus
Neogale vison,Mustela putorius
Accipiter nisus,Falco tinnunculus
Corvus corax,Corvus corone
Zenaida,Columba
Columbidae,Corvidae
Larus argentatus,Larus fuscus
Passer domesticus,Passer montanus
Corvus corone,Corvus frugilegus
Parus major,Cyanistes caeruleus
Erithacus rubecula,Luscinia svecica
Turdus merula,Turdus philomelos
Sylvia atricapilla,Sylvia borin
Phylloscopus trochilus,Phylloscopus collybita
Fringilla coelebs,Fringilla montifringilla
Carduelis carduelis,Spinus spinus
Emberiza citrinella,Emberiza schoeniclus
Hirundo rustica,Delichon urbicum
Alauda arvensis,Lullula arborea
Motacilla alba,Motacilla flava
Sturnus vulgaris,Sturnus unicolor
Garrulus glandarius,Pica pica
Buteo buteo,Pernis apivorus
Accipiter nisus,Accipiter gentilis
Falco tinnunculus,Falco naumanni
Aquila chrysaetos,Haliaeetus albicilla
Ardea cinerea,Ardea purpurea
Egretta garzetta,Bubulcus ibis
Ciconia ciconia,Ciconia nigra
Sterna hirundo,Sterna paradisaea
Alca torda,Uria aalge
Columba palumbus,Columba oenas
Streptopelia decaocto,Streptopelia turtur
Cuculus canorus,Accipiter nisus
Tyto alba,Asio flammeus
Strix aluco,Strix nebulosa
Apus apus,Hirundo rustica
Alcedo atthis,Merops apiaster
Upupa epops,Coracias garrulus
Picus viridis,Picus canus
Dendrocopos major,Dendrocoptes medius
Anas platyrhynchos,Anas acuta
Aythya ferina,Aythya fuligula
Mergus merganser,Mergus serrator
Podiceps cristatus,Podiceps grisegena
Phalacrocorax carbo,Gulosus aristotelis
Fulica atra,Gallinula chloropus
Vanellus vanellus,Pluvialis apricaria
Tringa totanus,Tringa nebularia
Calidris alpina,Calidris ferruginea
Numenius arquata,Numenius phaeopus
Scolopax rusticola,Gallinago gallinago
Haematopus ostralegus,Recurvirostra avosetta
Burhinus oedicnemus,Pluvialis apricaria
Stercorarius parasiticus,Stercorarius longicaudus
Crocodylidae,Alligatoridae
Pygopodidae,Colubridae
Chelonia mydas,Eretmochelys imbricata
Vipera berus,Natrix natrix
Natrix natrix,Natrix helvetica
Vipera berus,Vipera aspis
Coronella austriaca,Vipera berus
Zamenis longissimus,Hierophis viridiflavus
Elaphe quatuorlineata,Elaphe sauromates
Malpolon monspessulanus,Hierophis viridiflavus
Naja naja,Naja kaouthia
Naja naja,Naja atra
Bungarus caeruleus,Bungarus candidus
Dendroaspis polylepis,Dendroaspis angusticeps
Crotalus atrox,Crotalus scutulatus
Sistrurus catenatus,Sistrurus miliarius
Agkistrodon contortrix,Agkistrodon piscivorus
Bothrops atrox,Bothrops asper
Bitis arietans,Bitis gabonica
Echis carinatus,Echis coloratus
Malayopython reticulatus,Python bivittatus
Boa constrictor,Eunectes murinus
Morelia spilota,Morelia bredli
Pantherophis guttatus,Pantherophis alleghaniensis
Lampropeltis getula,Lampropeltis californiae
Thamnophis sirtalis,Thamnophis elegans
Pituophis catenifer,Pantherophis obsoletus
Coluber constrictor,Masticophis flagellum
Heterodon platirhinos,Heterodon nasicus
