Allagelena gracilens
Spinus spinus
Carollia brevicaudum
Cosmophasis thalassina
Delphinus delphis
Dendrocoptes medius
Diaemus youngii
Edmundsella bertschi
Coryphellina exoptata
Flabellinopsis iodinea
Coryphellina rubrolineata
Eryx conicus
Heniochus acuminatus
Radianthus magnifica
Hipposideros swinhoei
Hypselodoris bullockii
Antiopella cristata
Leucopleurus acutus
Sagmatias obliquidens
Sagmatias obscurus
Lentinula edodes
Trametes betulina
Pijnackeria hispanica
Tolmerus atricapillus
Tolmerus cingulatus
Osphranter rufus
Manduca quinquemaculatus
Lyroderma lyra
Micronomus norfolkensis
Ozimops planiceps
Not found
Laephotis capensis
Afronycteris nanus
Neogale vison
Trichonephila clavipes
Parapercis hexophtalma
Gulosus aristotelis
Phintelloides versicolor
Cerioporus squamosus
Malayopython reticulatus
Ascarosepion latimanus
Attulus fasciger
Attulus pubescens
Synema globosum
Eutamias sibiricus
Thamnophis proximus
Trapania lineata
Naematelia aurantia
Candiella odhneri
Candiella plebeia
Fowlea flavipunctata
Fowlea piscator
